Orig.Row,Sample,Water Type,PhreeqC (1= yes),pH,TDS (mg/L),Alk. (ueq/L),DICcalc (umol/L),DICexp (umol/L),Cl (umol/l),SO4 (umol/l),F (umol/l),Br (umol/l),Ca (umol/l),Mg (umol/l),Na (umol/l),K (umol/l),Si (umol/l),Al (umol/l),Ba (umol/l),Sr (umol/l),Fe (umol/l),Mn (umol/l),Calcite,± Calcite,Gypsum,± Gypsum,log PCO2,± lgPCO2,Alk* ueq/L,± Alk*,DICcalc* umol/L,± DIC*,DICexp* umol/L,SO4* (umol/l),Ca* (umol/l),Mg* (umol/l),Na* (umol/l),K* (umol/l),SO4* (ueq/l),Ca* (ueq/l),Mg* (ueq/l),Ca*+Mg* (ueq/l),(Ca+Mg-SO4)* (umol/l),(HCO3+SO4)* ueq/L,Na*+K* (umol/l),SumCat* ueq/L,Calcite*,± Calcite*,Gypsum*,± Gypsum*,log PCO2*,± lgPCO2*
318,17G- GL13-30  - r318,5,,,6.91,,,,15.10,14.19905396,0.699705232,,45.00224562,4.3,29.59970387,23.90018339,24.8,,,,,,,,,,,,,,,,,14.20,45.00,4.30,29.60,23.90,28.40,90.00,8.60,98.60,35.10,,53.50,152.10,,,,,,
319,17G- GL13-31  - r319,5,,,6.67,,,,14.60,13.29911392,0.599747342,,42.70213084,4,29.29970687,24.50018799,23.9,,,,,,,,,,,,,,,,,13.30,42.70,4.00,29.30,24.50,26.60,85.40,8.00,93.40,33.40,,53.80,147.20,,,,,,
320,17G- GL13-32  - r320,5,,,9.58,,,,6.60,17.1988541,0.599747342,,64.60322371,6.2,70.99928969,42.30032457,27.8,,,,,,,,,,,,,,,,,17.20,64.60,6.20,71.00,42.30,34.40,129.21,12.40,141.61,53.60,,113.30,254.91,,,,,,
321,17G- GL13-33  - r321,5,,,7.60,,,,10.10,16.89887408,0.699705232,,55.70277958,4.8,30.49969487,24.50018799,26.8,,,,,,,,,,,,,,,,,16.90,55.70,4.80,30.50,24.50,33.80,111.41,9.60,121.01,43.60,,55.00,176.01,,,,,,
322,17G- GL13-34  - r322,5,,,7.93,,,,8.50,20.49863424,0.799663122,,54.20270473,5,33.39966585,22.60017341,28.5,,,,,,,,,,,,,,,,,20.50,54.20,5.00,33.40,22.60,41.00,108.41,10.00,118.41,38.70,,56.00,174.41,,,,,,
323,17G- GL13-35  - r323,5,,,8.39,,,,8.90,21.79854763,0.799663122,,55.00274465,5,33.29966686,28.40021791,29.6,,,,,,,,,,,,,,,,,21.80,55.00,5.00,33.30,28.40,43.60,110.01,10.00,120.01,38.20,,61.70,181.71,,,,,,
324,17G- GL13-36  - r324,5,,,7.90,,,,8.70,20.69862092,0.799663122,,51.90258995,4.8,32.49967486,24.10018492,28.5,,,,,,,,,,,,,,,,,20.70,51.90,4.80,32.50,24.10,41.40,103.81,9.60,113.41,36.00,,56.60,170.01,,,,,,
325,17G- GL13-37  - r325,5,,,7.31,,,,10.90,16.99886742,1.299452574,,48.20240531,4.6,31.29968686,22.30017111,27.6,,,,,,,,,,,,,,,,,17.00,48.20,4.60,31.30,22.30,34.00,96.40,9.20,105.60,35.80,,53.60,159.20,,,,,,
326,17G- GL13-38  - r326,5,,,6.29,,,,7.40,14.39904064,0.699705232,,42.1021009,4.1,29.09970887,18.10013888,24.6,,,,,,,,,,,,,,,,,14.40,42.10,4.10,29.10,18.10,28.80,84.20,8.20,92.40,31.80,,47.20,139.60,,,,,,
327,17G- GL13-39  - r327,5,,,6.82,,,,10.50,19.19872085,,,42.1021009,5.5,22.7997719,12.60009668,29.4,,,,,,,,,,,,,,,,,19.20,42.10,5.50,22.80,12.60,38.40,84.20,11.00,95.20,28.40,,35.40,130.60,,,,,,
328,17G- GL13-40  - r328,5,,,7.62,,,,12.30,15.39897402,0.799663122,,48.70243026,4.8,40.99958982,25.00019183,28.6,,,,,,,,,,,,,,,,,15.40,48.70,4.80,41.00,25.00,30.80,97.40,9.60,107.00,38.10,,66.00,173.00,,,,,,
329,17G- GL13-41  - r329,5,,,7.04,,,,12.10,15.59896069,0.699705232,,45.80228554,4.5,34.09965885,21.1001619,25.9,,,,,,,,,,,,,,,,,15.60,45.80,4.50,34.10,21.10,31.20,91.60,9.00,100.60,34.70,,55.20,155.80,,,,,,
330,17G- GL13-42  - r330,5,,,7.04,,,,8.60,16.99886742,0.699705232,,47.60237537,4.5,31.79968186,18.80014425,27,,,,,,,,,,,,,,,,,17.00,47.60,4.50,31.80,18.80,34.00,95.20,9.00,104.20,35.10,,50.60,154.80,,,,,,
331,17G- GL13-43  - r331,5,,,7.17,,,,8.30,17.59882745,0.799663122,,46.90234044,4.5,33.29966686,20.90016037,26.8,,,,,,,,,,,,,,,,,17.60,46.90,4.50,33.30,20.90,35.20,93.80,9.00,102.80,33.80,,54.20,157.00,,,,,,
332,17G- GL13-44  - r332,5,,,7.05,,,,9.00,16.29891406,,,47.50237038,4.5,30.69969287,21.50016497,26.8,,,,,,,,,,,,,,,,,16.30,47.50,4.50,30.70,21.50,32.60,95.00,9.00,104.00,35.70,,52.20,156.20,,,,,,
333,17G- GL13-45  - r333,5,,,6.40,,,,10.20,14.09906063,0.999578903,,44.40221568,4,29.59970387,17.10013121,24.2,,,,,,,,,,,,,,,,,14.10,44.40,4.00,29.60,17.10,28.20,88.80,8.00,96.80,34.30,,46.70,143.50,,,,,,
334,17G- GL13-46  - r334,5,,,6.13,,,,7.70,13.29911392,,,40.90204102,4,27.79972188,18.30014042,24.8,,,,,,,,,,,,,,,,,13.30,40.90,4.00,27.80,18.30,26.60,81.80,8.00,89.80,31.60,,46.10,135.90,,,,,,
336,19A-PW0114-r336,8.1,1,6.44,189.70,240.9478011,498.0795767,,93.94262106,888.0957572,,,830.9749861,308.540379,251.0221531,142.727171,313.393871,,,1.689389913,0.582226486,,-2.572562457,0.199533695,-1.838075635,0.074922795,-2.374014623,0.200466086,240.55,33.73,497.72,119.86,,883.24,829.20,299.40,170.42,140.97,1766.47,1658.41,598.79,2257.20,245.36,2007.02,311.39,2568.59,-2.57,0.20,-1.84,0.07,-2.37,0.20
374,19A-PW0115-r374,8.1,1,6.34,190.12,732.6424926,1846.36886,,69.67778573,316.4924073,,,459.1350931,178.5333774,120.93722,103.075738,263.1668688,12.67682206,0.428184223,1.164252827,4.842170719,12.92515866,-2.501950806,0.196580299,-2.443783385,0.081158487,-1.819998146,0.203538446,732.35,102.57,1846.10,541.40,,312.89,457.82,171.75,61.15,101.77,625.78,915.64,343.50,1259.15,316.68,1358.12,162.92,1422.07,-2.49,0.20,-2.44,0.08,-1.81,0.20
391,19A-PW0116-r391,8.1,1,6.81,438.62,2806.697361,3932.85761,3197.069353,280.7551386,770.5659045,,,1380.241375,576.0563552,543.916763,251.2292143,363.3240878,20.28050943,1.551458575,2.488919604,38.51782704,50.62086647,-0.960175006,0.198069616,-1.761737776,0.079657011,-1.699073897,0.201944393,2805.50,393.00,3931.78,571.80,3195.99,756.05,1374.95,548.73,303.02,245.98,1512.09,2749.90,1097.46,3847.36,1167.63,4317.60,549.00,4396.36,-0.94,0.20,-1.76,0.08,-1.69,0.20
337,19A-PW0214-r337,8.1,1,6.03,156.95,390.0729221,1545.991108,,61.4947651,262.3460433,,,326.8723812,109.4197186,87.00204211,83.37834543,256.391449,,,0.757878304,2.151591711,3.294885855,-3.139674913,0.199469135,-2.648595382,0.081053559,-1.751645226,0.200542522,389.81,54.61,1545.75,538.59,,259.17,325.71,103.43,34.24,82.23,518.33,651.43,206.87,858.30,169.98,908.14,116.47,974.76,-3.14,0.20,-2.65,0.08,-1.75,0.20
384,19A-PW0516-r384,8.1,1,6.69,229.06,490.1118848,769.0741718,,40.90768046,1157.801117,,,1093.040467,212.6961848,154.4482541,153.220789,191.6057401,1.538409135,1.201646552,1.047922766,0.507075535,1.51474778,-1.90776955,0.19894656,-1.637010386,0.072852728,-2.319322026,0.201051507,489.94,68.62,768.92,133.53,,1155.69,1092.27,208.71,119.35,152.46,2311.37,2184.54,417.43,2601.97,145.30,2801.31,271.80,2873.77,-1.90,0.20,-1.64,0.07,-2.32,0.20
389,19A-PW0616-r389,8.1,1,7.09,161.77,1155.549645,1239.998148,1323.786529,53.88224297,301.9274652,,,608.8739629,140.6924228,264.0698309,111.5200119,278.8453765,41.14548426,2.090018561,0.763639102,23.82230005,0.671767224,-1.39237854,0.195813922,-2.37942419,0.081846119,-2.399550739,0.204219008,1155.32,161.79,1239.79,200.05,1323.58,299.14,607.86,135.45,217.84,110.51,598.28,1215.72,270.90,1486.61,444.17,1753.60,328.35,1814.96,-1.33,0.20,-2.38,0.08,-2.34,0.20
344,19A-PW0714-r344,8.1,1,6.89,154.11,563.8347467,761.6967568,,100.7104222,547.6262647,,,651.2863644,139.8676961,154.0023188,167.0218928,203.3441562,,,0.811569175,3.194890267,3.33148173,-1.776988805,0.199653212,-2.115427928,0.077893596,-2.434730077,0.200323095,563.41,78.94,761.31,106.58,,542.42,649.39,130.06,67.59,165.14,1084.84,1298.78,260.13,1558.91,237.04,1648.24,232.73,1791.63,-1.78,0.20,-2.12,0.08,-2.43,0.20
388,19A-PW0916-r388,8.1,1,7.18,174.18,894.9592153,743.9698093,,60.65433821,612.199625,,,736.1574345,165.3795361,409.3839666,96.43146799,328.7111962,74.13790422,2.206591723,0.929175083,35.28334023,1.154231207,-1.504642252,0.189071027,-2.015706246,0.077858388,-2.717755586,0.21102653,894.70,125.30,743.74,151.16,,609.06,735.01,159.48,357.34,95.30,1218.13,1470.03,318.95,1788.98,285.43,2112.83,452.64,2241.62,-1.34,0.19,-2.02,0.08,-2.55,0.21
392,19A-PW1016-r392,8.1,1,6.75,95.47,511.3598044,546.628922,,90.83237543,212.3769073,,,247.0274826,70.75311271,257.5279107,108.9553145,264.9397504,50.7799499,1.856867557,0.39948694,22.21123271,0.942963116,-2.548747259,0.16793563,-2.854363006,0.081838767,-2.505106908,0.2325176,510.97,71.59,546.28,130.56,,207.68,245.32,61.91,179.59,107.26,415.36,490.63,123.82,614.46,99.55,926.33,286.85,901.30,-2.39,0.17,-2.86,0.08,-2.35,0.23
390,19A-PW1116-r390,8.1,1,6.61,59.43,317.9482722,499.6048936,,90.82876689,106.184235,,,130.2456799,30.603619,121.3639065,86.7004325,58.75446523,11.04512693,0.128155179,0.241965334,5.344518859,0.684440243,-3.015586419,0.190696828,-3.38788811,0.083562262,-2.446876493,0.209459685,317.56,44.51,499.26,109.48,,101.49,128.53,21.76,43.43,85.00,202.97,257.07,43.53,300.59,48.81,520.54,128.43,429.03,-2.97,0.19,-3.40,0.08,-2.40,0.21
343,19A-PWD14-r343,8.1,1,7.47,26.16,178.6368476,196.8116577,,51.33679399,41.3276001,,,85.33137409,21.30685835,29.66603655,26.59773862,44.86599334,,,0.186035018,3.082195601,0.342212091,-2.533775029,0.19928682,-3.944785657,0.085290431,-3.513552679,0.200675803,178.42,25.01,196.61,27.57,,38.67,84.36,16.31,0.00,25.64,77.35,168.73,32.62,201.35,62.00,255.76,25.64,226.99,-2.53,0.20,-3.97,0.09,-3.51,0.20
340,19A-MP0214-r340,7.6,1,7.2,95.99,229.4563444,270.5972482,,13.25814302,445.5751226,,,404.2268284,143.1516603,63.51195703,65.7312641,207.6073781,,,0.864033265,3.388231054,0.567962394,-2.070291995,0.199307471,-2.363801018,0.077921505,-3.140208013,0.200671679,229.40,32.12,270.55,37.92,,444.89,403.98,141.86,52.14,65.48,889.78,807.95,283.72,1091.68,100.95,1119.18,117.62,1209.30,-2.07,0.20,-2.36,0.08,-3.14,0.20
373,19A-MP0215-r373,7.6,1,6.91,120.07,431.0569654,598.4418696,,13.82253842,422.6784283,,,481.5865094,182.2333067,73.08341036,80.56683422,237.1675909,2.246214625,0.22719683,1.080914759,1.696735008,1.194196271,-2.12025233,0.198566047,-2.304931671,0.079159873,-2.611228017,0.201433622,431.00,60.35,598.39,85.16,,421.96,481.33,180.89,61.22,80.31,843.93,962.65,361.78,1324.43,240.25,1274.93,141.53,1465.96,-2.11,0.20,-2.30,0.08,-2.60,0.20
380,19A-MP0216-r380,7.6,1,6.96,109.52,449.0828277,560.0701734,474.5649821,10.15526343,365.4164833,,,434.1734063,146.0324426,99.61895293,69.05680419,237.1659345,5.930558252,0.675032021,0.826374678,2.49473913,0.897461357,-1.995585275,0.197930049,-2.420577626,0.079650413,-2.626225053,0.202069165,449.04,62.87,560.03,82.32,474.53,364.89,433.98,145.04,90.91,68.87,729.78,867.96,290.09,1158.05,214.13,1178.82,159.77,1317.82,-1.97,0.20,-2.42,0.08,-2.60,0.20
341,19A-MP0314-r341,7.6,1,7.35,130.44,249.1329589,279.8378501,,18.90058333,692.3319515,,,643.7917233,189.2302402,66.12440706,81.3357629,184.4673684,,,1.017016154,2.026860522,1.551029813,-1.709044409,0.199045781,-2.020900436,0.075709823,-3.258906397,0.200924092,249.05,34.88,279.77,39.23,,691.35,643.44,187.39,49.91,80.98,1382.71,1286.87,374.78,1661.65,139.47,1631.76,130.89,1792.54,-1.71,0.20,-2.02,0.08,-3.26,0.20
372,19A-MP0315-r372,7.6,1,6.85,172.08,454.0258883,664.5393279,,23.13276293,793.3429205,,,771.0764017,238.6019318,85.26828413,103.5911602,202.27927,0.341397381,0.177688544,1.289857817,2.044570196,1.330795052,-1.983909064,0.199535078,-1.88776046,0.075583183,-2.527937484,0.200454315,453.93,63.57,664.45,98.96,,792.15,770.64,236.35,65.42,103.16,1584.29,1541.28,472.70,2013.98,214.84,2038.22,168.58,2182.56,-1.98,0.20,-1.89,0.08,-2.53,0.20
338,19A-MP0414-r338,7.6,1,7.17,29.90,104.8879877,128.0307016,,9.308346177,109.3050456,,,123.2567787,32.00151117,24.31577924,31.71277826,61.24581531,,,0.18831819,2.992593979,0.068988697,-2.961753084,0.199477947,-3.374567962,0.082979206,-3.45829034,0.200513276,104.85,14.68,127.99,17.92,,108.82,123.08,31.10,16.33,31.54,217.65,246.16,62.19,308.35,45.35,322.50,47.87,356.22,-2.96,0.20,-3.38,0.08,-3.46,0.20
345,19A-MP0514-r345,7.6,1,7.14,113.69,468.7539317,565.6695591,,15.23300053,429.9659592,,,481.5864778,106.5427163,43.24101496,93.8667499,170.2193709,,,0.560432008,17.91183706,1.221502508,-1.749993384,0.199476594,-2.31189653,0.07866821,-2.771624199,0.200488036,468.69,65.63,565.61,79.19,,429.18,481.30,105.06,30.17,93.58,858.36,962.60,210.12,1172.72,157.18,1327.05,123.75,1296.47,-1.75,0.20,-2.31,0.08,-2.77,0.20
378,19A-MP0516-r378,7.6,1,7.41,106.72,681.8214298,737.7532104,691.0332195,9.026930564,280.0494525,,,471.603702,95.02424058,43.93688818,90.79720834,153.1256574,3.625065674,0.146366649,0.497652689,3.191352615,0.642606293,-1.295006753,0.199042534,-2.497061176,0.081258391,-2.877905577,0.200851238,681.78,95.46,737.72,105.52,691.00,279.58,471.43,94.15,36.19,90.63,559.17,942.87,188.29,1131.16,286.00,1240.95,126.82,1257.98,-1.29,0.20,-2.50,0.08,-2.87,0.20
346,19A-MP0814-r346,7.6,1,7.02,143.86,322.8931571,407.4825253,,24.54283202,743.3544721,,,736.1269472,156.7338139,50.46394625,100.0083355,143.8719648,,,0.687150165,0.542817699,0.177314611,-1.855434942,0.19954865,-1.945099256,0.075352322,-2.810540312,0.200433103,322.79,45.21,407.39,57.04,,742.09,735.66,154.34,29.41,99.55,1484.17,1471.33,308.69,1780.02,147.92,1806.96,128.95,1908.97,-1.86,0.20,-1.95,0.08,-2.81,0.20
377,19A-MP0916-r377,7.6,1,7.55,112.91,729.3638989,606.8819713,724.3360253,13.82270818,323.7798167,,,541.4795647,117.6509386,123.9823081,85.68324105,220.0771339,42.2560416,1.077741788,0.617510101,15.11669452,0.287630073,-1.225225422,0.197630606,-2.38157977,0.080900329,-3.109445633,0.202276132,729.31,102.12,606.83,110.33,724.28,323.06,541.22,116.31,112.12,85.42,646.13,1082.44,232.61,1315.05,334.46,1375.43,197.55,1512.60,-1.11,0.20,-2.38,0.08,-3.00,0.20
385,19A-MP1016-r385,7.6,1,7.33,112.07,683.4662174,637.7623803,674.3818167,,302.9556934,,,494.0652093,104.0750504,94.39985701,79.28837519,271.3552094,30.3574024,0.793736315,0.546737749,12.71825815,0.65171389,-1.444836091,0.197506133,-2.446118756,0.080975215,-2.875850781,0.202447648,683.47,95.69,637.76,108.10,,302.96,494.07,104.08,94.40,79.29,605.91,988.13,208.15,1196.28,295.18,1289.38,173.69,1369.97,-1.36,0.20,-2.45,0.08,-2.79,0.20
383,19A-MP1116-r383,7.6,1,6.38,13.56,45.8877478,88.21844486,16.65140288,,36.43442225,,,40.41958134,10.20082983,52.63258328,,25.88661808,3.743344464,0.337123058,0.098608648,2.035094652,0.141433628,-4.604735509,0.177993232,-4.297309182,0.084928218,-3.088294469,0.222142186,45.89,6.42,88.22,27.68,,36.43,40.42,10.20,52.63,,72.87,80.84,20.40,101.24,14.19,118.76,,101.24,-4.52,0.18,-4.30,0.08,-3.01,0.22
381,19A-MP1216-r381,7.6,1,7.28,77.20,398.2654391,345.2457702,407.9593706,9.308787018,222.7846436,,,329.3656948,73.63164254,103.0968266,67.52072552,235.7363368,25.79736178,0.58982085,0.708794756,8.992176833,0.342229268,-1.968035994,0.195226015,-2.710987976,0.081645312,-3.110819318,0.20478022,398.23,55.76,345.21,64.53,407.92,222.30,329.19,72.73,95.11,67.35,444.61,658.38,145.45,803.83,179.61,842.83,162.46,966.29,-1.84,0.20,-2.71,0.08,-2.98,0.20
379,19A-MP1316-r379,7.6,1,6.96,59.19,357.283571,427.8379428,391.3079677,7.051952342,125.9641773,,,225.3109963,54.70831068,24.62088098,57.54477514,128.5481849,8.932505724,0.162379115,0.278489566,3.909126638,0.354963842,-2.359836629,0.196315999,-3.096141538,0.083340945,-2.738930637,0.203712857,357.25,50.02,427.81,65.80,391.28,125.60,225.18,54.02,18.57,57.41,251.20,450.36,108.04,558.40,153.60,608.45,75.98,634.38,-2.32,0.20,-3.10,0.08,-2.70,0.20
382,19A-MP1516-r382,7.6,1,7.09,76.77,114.726703,105.3641876,108.2341187,7.616282496,425.7894656,,,421.6880194,104.0715696,51.76593217,45.26959047,107.5413812,7.783689003,0.61457894,0.566122868,3.836481613,2.967201433,-2.583856511,0.191556075,-2.358058168,0.078011724,-3.457332833,0.208457319,114.69,16.06,105.33,19.80,108.20,425.40,421.54,103.33,45.23,45.13,850.79,843.09,206.66,1049.75,99.48,965.49,90.36,1140.11,-2.46,0.19,-2.36,0.08,-3.33,0.21
339,19A-ST0114-r339,6.1,1,7.24,55.17,295.0043374,343.4032089,,16.64258236,159.2767768,,,218.8233057,69.10513005,31.58079958,50.89507972,81.54429319,,,0.293326681,10.06750032,0.2584861,-2.137971476,0.199455355,-3.013221747,0.082493405,-3.061846792,0.200511456,294.93,41.30,343.34,48.08,,158.42,218.51,67.49,17.30,50.58,316.83,437.02,134.97,571.99,127.58,611.77,67.88,639.87,-2.14,0.20,-3.01,0.08,-3.06,0.20
375,19A-ST0115-r375,6.1,1,7.06,55.55,301.5595881,387.6321959,,15.79632835,146.7842853,,,227.8054872,66.63700104,30.66726458,52.17378116,66.23239457,1.541872124,0.081553405,0.292184943,2.078932997,0.167833709,-2.427270218,0.198881421,-3.005908832,0.08291907,-2.914306344,0.201112607,301.49,42.22,387.57,55.22,,145.97,227.51,65.10,17.11,51.88,291.93,455.02,130.20,585.21,146.64,593.43,68.99,654.21,-2.42,0.20,-3.01,0.08,-2.91,0.20
342,19A-STD14-r342,6.1,1,6.17,29.71,78.66509638,272.2627444,,,14.36564267,,,57.38610684,38.78802306,23.70652776,20.74094416,90.08729712,,,0.186033431,34.56889868,0.573382387,-4.450351565,0.198207109,-4.549265148,0.086449698,-2.5906349,0.201809565,78.67,11.01,272.26,90.81,,14.37,57.39,38.79,23.71,20.74,28.73,114.77,77.58,192.35,81.81,107.40,44.45,236.80,-4.44,0.20,-4.54,0.09,-2.59,0.20
376,19A-STIT16-r376,5,1,6.13,8.55,34.41568138,56.660414,24.97710432,,4.99670197,,,20.25961517,9.830601447,43.49783908,,35.9633919,16.08520184,0.644390461,0.073385558,7.888603401,0.180022307,-5.6523797,0.138958099,-5.43118133,0.086788296,-3.266727969,0.358387908,34.42,4.82,56.66,39.92,,5.00,20.26,9.83,43.50,,9.99,40.52,19.66,60.18,25.09,44.41,,60.18,-5.28,0.14,-5.42,0.09,-2.90,0.36
360,19A-L3815-r360,7.3,1,7.11,9.90,68.83154468,69.94859325,83.2570144,5.923389992,15.30244022,,,34.43145669,15.05443364,10.74399465,11.63634124,23.57210728,3.92865415,0.027668816,0.082402042,2.454817871,0.316723601,-3.872646017,0.189897332,-4.721290393,0.086124405,-3.68650941,0.210155525,68.81,9.64,69.93,12.31,83.23,15.00,34.32,14.48,5.66,11.53,29.99,68.64,28.96,97.60,33.80,98.80,17.19,114.78,-3.77,0.19,-4.73,0.09,-3.59,0.21
627,10W-GR1- r627,6.1,1,8.48,7.95,72.99818565,65.67095474,,1.950015449,8.289513377,,,24.80019649,8.277681574,11.60007677,12.19894223,19.60134172,1.640012993,,0.059600472,0.230099663,,-2.519329922,0.193527259,-5.130281389,0.086502791,-4.9720764,0.206319212,72.99,10.22,65.66,10.24,,8.19,24.76,8.09,9.93,12.16,16.38,49.53,16.18,65.70,24.66,89.37,22.09,87.79,-2.48,0.19,-5.14,0.09,-4.93,0.21
628,10W-GR2- r628,6.1,1,7.91,11.70,97.99787717,98.44897065,,5.970066359,13.3992562,,,32.9003657,10.99695507,29.90029333,18.19848012,21.6015476,0.730008114,,0.058600651,0.118196709,,-2.806318752,0.198360187,-4.808723936,0.086266468,-4.237161281,0.201581449,97.97,13.72,98.43,14.24,,13.09,32.79,10.42,24.78,18.09,26.18,65.58,20.83,86.41,30.11,124.15,42.86,129.27,-2.79,0.20,-4.82,0.09,-4.22,0.20
629,10W-GR3- r629,3,1,6.32,5.75,22.99931733,64.4747862,,1.750005417,7.059551499,,,11.10003436,3.299060064,2.990005354,4.539584457,6.140390674,0.10000031,,0.015700049,0.06227054,,-5.522769301,0.195105708,-5.522633957,0.086366334,-3.26677408,0.204930246,22.99,3.22,64.47,19.88,,6.97,11.07,3.13,1.49,4.51,13.94,22.13,6.26,28.39,7.23,36.93,6.00,34.39,-5.52,0.20,-5.53,0.09,-3.26,0.20
630,10W-GR4- r630,6.1,1,7.11,15.75,118.9977042,145.3561768,,4.310058119,19.4989638,,,40.80055017,11.59681646,32.20039218,20.19836095,25.70190225,0.570007686,,0.066900902,0.090091207,,-3.393638044,0.199158772,-4.563230573,0.085967218,-3.337043566,0.200836201,118.98,16.66,145.34,20.71,,19.28,40.72,11.18,28.50,20.12,38.55,81.44,22.35,103.79,32.62,157.53,48.62,152.41,-3.39,0.20,-4.57,0.09,-3.33,0.20
631,10W-GR5- r631,6.1,1,7.18,17.03,144.9973706,174.2847773,,5.150075414,16.79912674,,,39.20057403,11.39688456,30.20040283,18.59851233,24.80186438,0.720010543,,0.064400943,0.100891088,,-3.306553112,0.199189896,-4.637230804,0.086143702,-3.335172168,0.200802352,144.98,20.30,174.26,24.85,,16.53,39.10,10.90,25.78,18.50,33.07,78.21,21.79,100.00,33.47,178.04,44.28,144.28,-3.30,0.20,-4.64,0.09,-3.33,0.20
633,10W-GR7- r633,6.1,1,7.3,17.53,150.99743,168.2822977,,4.130065078,19.29901829,,,42.40066811,13.69627126,35.40051161,21.59829644,28.70218953,1.080017018,,0.07300115,0.135476084,,-3.047499296,0.199225064,-4.560268748,0.086021926,-3.416360708,0.200754469,150.98,21.14,168.27,24.23,,19.09,42.32,13.29,31.86,21.52,38.17,84.65,26.59,111.23,36.53,189.15,53.38,164.61,-3.04,0.20,-4.57,0.09,-3.40,0.20
634,10W-GR8- r634,6.1,1,7.2,13.82,98.9980408,94.44738896,,3.180041299,17.89903992,,,40.60052728,14.39604086,37.70044042,22.89813048,42.10309519,5.340069351,,0.07780101,0.69557797,,-3.485173039,0.194770409,-4.599987527,0.086045778,-3.601248129,0.205252801,98.98,13.86,94.44,16.63,,17.73,40.54,14.09,34.97,22.84,35.47,81.08,28.17,109.25,36.89,134.45,57.81,167.06,-3.39,0.19,-4.60,0.09,-3.50,0.21
635,10W-GR9- r635,6.1,1,7.18,23.40,265.996592,316.6763711,,,10.69950075,,,31.10062092,9.707398067,8.010149468,9.749272055,21.70174682,1.180023559,,0.053801074,0.179571071,,-3.104480937,0.199357138,-4.940753979,0.08651409,-3.060762175,0.200621971,266.00,37.24,316.68,45.05,,10.70,31.10,9.71,8.01,9.75,21.40,62.20,19.41,81.62,30.11,287.40,17.76,99.38,-3.10,0.20,-4.94,0.09,-3.05,0.20
642,12R- W06a - r642,3,1,6.53,7.04,38.89891588,66.39258483,,0.91900451,6.269613046,,,16.50008097,6.138262272,3.110011204,6.869383642,19.1012499,3.360016489,,0.028900142,2.114645266,,-4.994762027,0.174798451,-5.410673946,0.086564692,-3.33604949,0.225416881,38.90,5.45,66.39,19.83,,6.22,16.48,6.05,2.32,6.85,12.44,32.97,12.10,45.06,16.31,51.34,9.17,54.24,-4.91,0.17,-5.41,0.09,-3.25,0.23
643,12R- W31- r643,6.1,1,6.14,11.26,39.99888779,136.4537686,,1.150005717,6.739584471,,,16.60008253,5.848344721,3.100011366,6.209443253,19.20125767,2.900014417,,0.028800143,1.799650393,,-5.334768764,0.185433443,-5.375300687,0.086537116,-2.88731337,0.214790357,39.99,5.60,136.45,50.92,,6.68,16.58,5.74,2.11,6.19,13.36,33.16,11.47,44.63,15.63,53.35,8.30,52.93,-5.29,0.19,-5.38,0.09,-2.85,0.21
644,12R- W10 - r644,6.1,1,6.17,12.68,49.09866529,161.8677814,,0.62400349,6.849581949,,,21.60012081,7.287941803,4.420018954,6.229445333,13.5008927,2.260012641,,0.054300304,1.499590123,,-5.08275783,0.190289889,-5.258927522,0.086571784,-2.81488404,0.209874339,49.10,6.87,161.87,57.24,,6.82,21.59,7.23,3.88,6.22,13.63,43.18,14.45,57.63,22.00,62.73,10.10,67.73,-5.05,0.19,-5.26,0.09,-2.79,0.21
645,12R- W15 - r645,6.1,1,5.82,23.75,52.79861163,334.8025832,,0.699004531,9.849407614,,,26.20016983,5.788370473,4.850025109,7.949299264,15.60104543,3.660023724,,0.034600224,2.430724336,,-5.312848374,0.186283466,-5.02235792,0.086395333,-2.425242226,0.21396965,52.80,7.39,334.80,142.78,,9.81,26.19,5.72,4.25,7.94,19.63,52.37,11.44,63.81,22.09,72.42,12.19,76.00,-5.29,0.19,-5.02,0.09,-2.40,0.21
646,12R- W07 - r646,6.1,1,6.44,9.33,55.498542,96.09819931,,0.50100326,6.589603834,,,21.90014249,9.887216766,4.920025592,6.049466884,20.00134078,7.120046326,,0.05680037,4.336097241,,-4.836171187,0.164338605,-5.275338882,0.086619028,-3.126627689,0.236042377,55.50,7.77,96.10,33.10,,6.56,21.89,9.84,4.49,6.04,13.13,43.78,19.68,63.46,25.17,68.62,10.53,73.99,-4.71,0.16,-5.27,0.09,-3.00,0.24
647,12R- W32 - r647,6.1,1,6.44,11.46,69.79829434,113.8295875,,0.737006147,8.939478956,,,27.20022686,13.09633752,6.120043058,7.479354591,25.50175626,10.00008341,,0.076100635,6.476580949,,-4.657137931,0.158202799,-5.056943493,0.086507066,-3.046677637,0.242256308,69.80,9.77,113.83,40.59,,8.90,27.19,13.02,5.49,7.47,17.80,54.37,26.05,80.42,31.31,87.60,12.95,93.38,-4.51,0.16,-5.06,0.09,-2.90,0.24
