Orig.Row,Sample,Water Type,PhreeqC (1= yes),pH,TDS (mg/L),Alk. (ueq/L),DICcalc (umol/L),DICexp (umol/L),Cl (umol/l),SO4 (umol/l),F (umol/l),Br (umol/l),Ca (umol/l),Mg (umol/l),Na (umol/l),K (umol/l),Si (umol/l),Al (umol/l),Ba (umol/l),Sr (umol/l),Fe (umol/l),Mn (umol/l),Calcite,± Calcite,Gypsum,± Gypsum,log PCO2,± lgPCO2,Alk* ueq/L,± Alk*,DICcalc* umol/L,± DIC*,DICexp* umol/L,SO4* (umol/l),Ca* (umol/l),Mg* (umol/l),Na* (umol/l),K* (umol/l),SO4* (ueq/l),Ca* (ueq/l),Mg* (ueq/l),Ca*+Mg* (ueq/l),(Ca+Mg-SO4)* (umol/l),(HCO3+SO4)* ueq/L,Na*+K* (umol/l),SumCat* ueq/L,Calcite*,± Calcite*,Gypsum*,± Gypsum*,log PCO2*,± lgPCO2*
265,14G-GL11-1C2- r265,4,1,6.51,9.23,45.39796579,92.76130964,,10.19919806,7.009458262,,,21.29906487,4.828638289,17.60008183,11.09901624,13.60042055,,,,,,-4.704965078,0.198560761,-5.264033542,0.08655456,-3.151448558,0.201451849,45.40,6.36,92.76,22.18,,7.01,21.30,4.83,17.60,11.10,14.02,42.60,9.66,52.26,19.12,59.42,28.70,80.95,-4.70,0.20,-5.26,0.09,-3.15,0.20
266,14G-GL11-1C3- r266,4,1,6.5,9.07,45.19796596,93.4719277,,7.5194073,7.939384847,,,20.69908718,4.568710701,15.10006727,9.25917751,13.00039947,,,,,,-4.728860737,0.198525661,-5.221701591,0.086465515,-3.14319561,0.201487523,45.20,6.33,93.47,22.61,,7.94,20.70,4.57,15.10,9.26,15.88,41.40,9.14,50.54,17.33,61.08,24.36,74.89,-4.73,0.20,-5.22,0.09,-3.14,0.20
268,14G-GL12-2A1- r268,4,1,7.92,58.39,576.0028494,596.2990902,,11.39967088,34.79904199,,,168.0009829,17.19600649,147.5080247,115.9954904,62.90507476,,,,,,-1.348063693,0.198355181,-3.753290279,0.08600256,-3.472986404,0.201347344,576.00,80.64,596.30,83.54,,34.80,168.00,17.20,147.51,116.00,69.60,336.00,34.39,370.39,150.40,645.60,263.50,633.90,-1.35,0.20,-3.75,0.09,-3.47,0.20
269,14G-GL12-2B1- r269,4,1,7.2,13.57,111.9956751,135.4459904,,11.39917429,7.999431282,,,17.59933627,,85.10092254,36.79696634,2.820104662,,,,,,-3.715562081,0.199634959,-5.299950264,0.086596895,-3.453658417,0.200353478,112.00,15.68,135.45,18.95,,8.00,17.60,,85.10,36.80,16.00,35.20,,,,127.99,121.90,121.90,-3.72,0.20,-5.30,0.09,-3.45,0.20
270,14G-GL12-2C1- r270,4,1,7.41,19.73,168.9945237,190.6114687,,11.39924509,8.329459557,,,18.89940463,,92.601579,97.49256799,6.450279451,,,,,,-3.301987346,0.199554394,-5.26050186,0.086649855,-3.486493203,0.200414319,168.99,23.66,190.61,26.68,,8.33,18.90,,92.60,97.49,16.66,37.80,,,,185.65,190.09,190.09,-3.30,0.20,-5.26,0.09,-3.49,0.20
271,14G-GL12-2D2- r271,4,1,7.7,69.38,565.0071203,600.0609914,,11.39975815,67.59865654,,,168.002269,12.49719334,108.0067026,219.9931314,139.0122787,,,,,,-1.579798993,0.198916106,-3.470865703,0.085004228,-3.260956681,0.200909616,565.01,79.10,600.06,84.06,,67.60,168.00,12.50,108.01,219.99,135.20,336.00,24.99,361.00,112.90,700.20,328.00,689.00,-1.58,0.20,-3.47,0.09,-3.26,0.20
272,14G-GL10-L1- r272,5,1,5.5,12.35,13.09935729,188.8607322,,5.639532571,1.039915202,,,2.929858896,1.129676614,3.170001247,9.009163127,2.470065867,,,,,,-7.011996511,0.161060189,-6.933027634,0.086986359,-2.587146351,0.239211635,13.10,1.83,188.86,98.15,,1.04,2.93,1.13,3.17,9.01,2.08,5.86,2.26,8.12,3.02,15.18,12.18,20.30,-7.01,0.16,-6.93,0.09,-2.59,0.24
273,14G-GL10-L3- r273,5,1,5.8,6.11,12.19939772,87.12240639,,2.819765426,,,,2.879860426,1.179661945,2.280000202,5.869452989,5.870154745,,,,,,-6.789630461,0.176924054,,,-2.958848777,0.223234265,12.20,1.71,87.12,38.95,,,2.88,1.18,2.28,5.87,,5.76,2.36,8.12,,,8.15,16.27,-6.79,0.18,,,-2.96,0.22
274,14G-GL10-T1- r274,5,1,7.75,8.19,62.09727149,65.44248439,,,6.179527776,,,18.19921679,7.417914543,6.660036752,9.309182971,37.30118584,,,,,,-3.402302191,0.198514037,-5.385918092,0.086611323,-4.260981871,0.201458046,62.10,8.69,65.44,9.19,,6.18,18.20,7.42,6.66,9.31,12.36,36.40,14.84,51.23,19.44,74.46,15.97,67.20,-3.40,0.20,-5.39,0.09,-4.26,0.20
275,14G-GL11-T13- r275,5,1,7,25.12,160.9952158,214.1008223,,9.729381838,41.99738801,,,73.49788233,10.99706476,57.60113708,37.39724972,31.50144947,,,,,,-3.154254516,0.199689364,-3.988733144,0.085142791,-3.099077663,0.200301847,161.00,22.54,214.10,29.95,,42.00,73.50,11.00,57.60,37.40,83.99,147.00,21.99,168.99,42.50,244.99,95.00,263.99,-3.15,0.20,-3.99,0.09,-3.10,0.20
